"id","tradingName","stockCode","lastPrice","roe","marketcap","totalRev","pe","yieldPercent","sector","gtiScore","oneYearChange"
916,"HPL","H15",3.55,0.88,1852.444,424.081,146.69,1.13,"Cyclical Consumer Services",50,49.52
917,"HRnetGroup","CHZ",0.835,17.93,844.525,629.603,13.05,4.35,"Industrial & Commercial Services",67,26.48
918,"Huationg Global","41B",0.087,10.74,15.42,145.934,1.88,NULL,"Industrial & Commercial Services",69,-21.16
919,"Hyphens Pharma","1J5",0.345,13.45,106.528,125.883,15.19,1.94,"Pharmaceuticals & Medical Research",88,NULL
920,"ICP Ltd","5I4",0.011,0.84,34.229,7.368,157.14,NULL,"Cyclical Consumer Services",60,59.31
921,"IFAST","AIY",5.58,7.07,1636.053,212.419,133.4,0.86,"Financial Technology (Fintech) & Infrastructure",91,1.37
922,"IFS Capital","I49",0.181,3.64,68.051,44.003,10.68,4.31,"Banking & Investment Services",56,11.66
923,"IHH","Q0F",1.81,6.82,51955.656,17602.588,29.91,1.02,"Healthcare Services",NULL,7.16
924,"Imperium Crown","5HT",0.01,-167.58,7.9,1.854,NULL,NULL,"Real Estate",65,-23.67
925,"Inch Kenneth","I4R",0,-1.32,172.508,28.195,NULL,NULL,"Cyclical Consumer Services",NULL,4.56
926,"Incredible","RDR",0.002,-66.88,5.987,11.621,NULL,NULL,"Technology Equipment",74,-36.32
927,"Indofood Agri","5JS",0.31,7.39,448.813,1648.959,5.76,2.58,"Food & Beverages",63,13.37
928,"InnoTek","M14",0.51,1.42,125.795,173.72,46.03,3.92,"Technology Equipment",77,-7.49
929,"Interra Resource","5GI",0.032,24.83,20.976,28.31,2.07,NULL,"Energy - Fossil Fuels",57,151.78
930,"Intl Cement","KUO",0.024,10.77,137.634,188.809,5.65,NULL,"Mineral Resources",61,15.5
931,"Intraco","I06",0.29,-2.98,32.98,195.966,NULL,NULL,"Industrial & Commercial Services",65,4.56
932,"IPC Corp","AZA",0.11,-11.55,9.382,3.736,NULL,NULL,"Cyclical Consumer Services",57,-39.85
933,"IPS Securex","42N",0.027,2.99,13.122,15.768,44.26,NULL,"Technology Equipment",67,81.4
934,"ISDN","I07",0.58,12.51,254.41,413.685,10.42,2.5,"Industrial Goods",79,0.45
935,"ISEC","40T",0.315,15.78,180.253,58.839,14.95,4.86,"Healthcare Services",71,57.52
936,"Isetan","I15",3.03,1.29,124.988,90.263,90.26,0.99,"Retailers",59,10.72
937,"ISOTeam","5WF",0.09,-33.58,31.353,99.878,NULL,NULL,"Industrial & Commercial Services",61,0.9
938,"iWOW Tech","NXR",0.24,40.79,63.214,34.077,12.04,1.5,"Technology Equipment",NULL,-18.24
939,"IX Biopharma","42C",0.124,-29.24,95.021,14.39,NULL,NULL,"Pharmaceuticals & Medical Research",72,724.64
940,"Jackspeed","J17",0.131,NULL,39.26,0,NULL,NULL,"Automobiles & Auto Parts",67,NULL
941,"Jadason","J03",0.017,-49.95,12.343,45.147,NULL,NULL,"Technology Equipment",58,18.18
942,"Japan Foods","5OI",0.425,23.48,74.135,71.374,10.28,5.53,"Cyclical Consumer Services",79,32.95
943,"Japfa","UD2",0.32,3.74,661.575,6615.086,9.62,3.13,"Food & Beverages",70,11.33
944,"Jardine C&C","C07",28.89,12.92,11418.376,26616.02,9.35,4.35,"Automobiles & Auto Parts",96,34.53
945,"Jason Marine","5PF",0.16,0.49,16.96,31.079,150.94,3.91,"Technology Equipment",67,-1.25
946,"Jasper Inv","FQ7",0.002,NULL,8.708,0,NULL,NULL,"Energy - Fossil Fuels",56,NULL
947,"Jawala","1J7",0.092,1.89,10.9,6.042,50.14,3.26,"Applied Resources",57,-41.6
948,"JB Foods","BEW",0.47,10.31,142.504,646.892,6.36,3.19,"Food & Beverages",63,16.46
949,"JEP","1J4",0.365,17,151.09,90.982,13.05,NULL,"Industrial & Commercial Services",58,50.66
950,"JES Intl","EG0",0.026,NULL,30.816,0,NULL,NULL,"Industrial Goods",12,NULL
951,"Jiutian Chemical","C8R",0.08,62.17,159.076,531.073,1.48,10.88,"Chemicals",57,74.36
952,"JMH USD","J36",52.2,8.5,15128.821,36647,6.33,4.04,"Consumer Goods Conglomerates",NULL,7.05
953,"Joyas Intl","E9L",0.003,-8.32,6.641,0.707,NULL,NULL,"Banking & Investment Services",26,NULL
954,"Jubilee","NHD",0.034,-24.88,10.804,159.55,NULL,NULL,"Industrial Goods",56,-21.3
955,"Jumbo","42R",0.31,-0.2,199.534,115.56,NULL,NULL,"Cyclical Consumer Services",66,41.29
956,"Karin Tech","K29",0.34,4.62,73.562,336.439,21.18,625.44,"Technology Equipment",75,6.24
957,"Katrina","1A0",0.028,NULL,6.509,NULL,NULL,NULL,"Cyclical Consumer Services",61,NULL
958,"Kencana Agri","BNE",0.121,36.69,34.728,177.058,2.54,NULL,"Food & Beverages",56,25.51
959,"Keong Hong","5TT",0.275,-34.04,66.705,148.067,NULL,NULL,"Industrial & Commercial Services",57,NULL
960,"Keppel Corp","BN4",7.1,7.1,12925.96,6619.718,15.16,4.65,"Consumer Goods Conglomerates",110,0.13
961,"Khong Guan","K03",1.28,0.63,33.04,69.686,88.95,1.56,"Food & Beverages",53,11.81
962,"Kim Heng","5G2",0.086,5.26,61.06,64.761,21.55,NULL,"Energy - Fossil Fuels",63,32.45
963,"Kimly","1D0",0.34,23.07,425.001,317.748,12.41,4.94,"Cyclical Consumer Services",61,33.15
964,"KingsmenCreative","5MZ",0.29,1.1,58.565,278.487,50.35,NULL,"Industrial & Commercial Services",77,-0.91
965,"Kitchen Culture","5TI",0.08,-29.73,32.764,10.787,NULL,NULL,"Retailers",40,-9.6
966,"Koda","BJZ",0.305,11.1,25.388,105.156,3.37,3.28,"Cyclical Consumer Products",82,-4.0
967,"Koh Bros","K75",0.146,2.09,63.948,350.682,10.01,1.37,"Industrial & Commercial Services",64,38.82
968,"Koh Eco","5HV",0.036,1.51,101.446,209.374,43.9,0.69,"Industrial & Commercial Services",63,15.95
969,"KOP","5I1",0.044,-39.2,48.75,21.51,NULL,NULL,"Cyclical Consumer Services",73,83.89
970,"Kori","5VC",0.165,2.23,16.368,20.43,13.85,NULL,"Industrial & Commercial Services",79,27.73
971,"Koyo Intl","5OC",0.055,-10.68,10.787,32.505,NULL,NULL,"Industrial & Commercial Services",73,29.03
972,"KrisEnergy","SK3",0.03,NULL,44.926,60.16,NULL,NULL,"Energy - Fossil Fuels",78,-64.13
973,"KSH","ER0",0.34,7.38,193.71,268.183,7.85,5.88,"Industrial & Commercial Services",67,15.45
974,"KTL Global","EB7",0.116,-1425.09,39.431,0.942,NULL,NULL,"Cyclical Consumer Services",57,162.59
975,"KTMG","XCF",0.2,21.13,33.936,121.323,8.02,NULL,"Cyclical Consumer Products",65,63.36
976,"Leader Env","LS9",0.074,-8.11,113.581,9.004,NULL,NULL,"Industrial & Commercial Services",73,39.65
977,"Ley Choon","Q0X",0.019,17.94,28.61,107.17,4.43,NULL,"Industrial & Commercial Services",69,NULL
978,"LHN","41O",0.3,27.64,122.684,111.772,2.68,5.33,"Real Estate",88,-7.61
979,"LHN Logistics","GIH",0.142,NULL,23.81,NULL,NULL,4.23,"Transportation",NULL,NULL
980,"LHT","BEI",0.705,9.28,37.538,36.563,7.3,4.26,"Applied Resources",78,9.81
981,"Lian Beng","L03",0.515,6.67,272.826,832.023,5.09,5.83,"Industrial & Commercial Services",70,19.84
982,"LifeBrandz","1D3",0.001,-34.71,2.06,0.22,NULL,NULL,"Cyclical Consumer Services",24,547.06
983,"Lincotrade","BFT",0.13,-8.49,22.364,0,NULL,NULL,"Chemicals",68,NULL
984,"Lion Asiapac","BAZ",0.305,-3.33,24.737,30.706,NULL,NULL,"Mineral Resources",46,43.53
985,"Livingstone","PRH",0.077,41.76,33.602,34.544,15.07,1.56,"Healthcare Services",48,NULL
986,"LMS Compliance","LMS",0.29,NULL,25.356,NULL,NULL,NULL,"Industrial & Commercial Services",NULL,NULL
987,"Lonza","O6Z",79.97,11.94,40466.32,6223,33.26,0.32,"Pharmaceuticals & Medical Research",NULL,15.05
988,"Lorenzo Intl","5IE",0.016,-168.79,6.578,27.54,NULL,NULL,"Retailers",50,19.1
989,"Low Keng Huat","F1E",0.415,-4.34,306.609,122.468,NULL,4.82,"Industrial & Commercial Services",73,-12.17
990,"LS 2 Holdings","ENV",0.193,-0.74,35.705,58.229,19300,NULL,"Industrial & Commercial Services",NULL,12.23
991,"Lum Chang","L19",0.37,-4.85,142.461,416.79,NULL,4.73,"Industrial & Commercial Services",90,28
992,"Luminor","5UA",0.085,13.21,14.232,6.877,4.36,NULL,"Real Estate",70,-0.44
993,"Lung Kee Bermuda","L09",0.73,7.44,1673.945,1991.925,10.41,9.81,"Industrial Goods",NULL,-13.33
994,"Luxking","BKK",0.2,1.8,2.53,112.508,5.9,NULL,"Chemicals",68,13.14
995,"LY Corp","1H8",0.1,4.22,48.914,70.208,16.62,1.3,"Cyclical Consumer Products",73,0.62
996,"Magnus Energy","41S",0.001,50.63,12.599,15.49,NULL,NULL,"Energy - Fossil Fuels",59,45.4
997,"Man Oriental USD","M04",1.89,-0.12,2388.337,413.5,NULL,NULL,"Cyclical Consumer Services",NULL,117.63
998,"MarcoPolo Marine","5LY",0.044,16.82,165.345,86.095,7.28,NULL,"Transportation",60,86.73
999,"Maruwa Yen1k","M12",0,18.96,218242.078,58851,13.8,0.42,"Technology Equipment",NULL,15.53
1000,"Mary Chia","5OX",0.025,NULL,5.804,11.392,NULL,NULL,"Personal & Household Products & Services",55,-10.18
1001,"Matex Intl","M15",0.025,-64.6,7.792,18.502,NULL,NULL,"Chemicals",65,-15.28
1002,"MDR Limited","Y3D",0.07,-0.96,63.495,175.908,NULL,6.52,"Retailers",NULL,-13.11
1003,"Medi Lifestyle","5TN",0.008,NULL,4.778,0.914,NULL,NULL,"Healthcare Services",78,362.8
1004,"Medinex","OTX",0.22,8.09,29.192,12.673,20.48,6.77,"Industrial & Commercial Services",71,9.16
1005,"MegaChem","5DS",0.55,14.5,73.315,148.167,8.89,3.64,"Chemicals",81,24.37
1006,"MeGroup","SJY",0.099,11.12,11.833,116.565,8.93,3.89,"Automobiles & Auto Parts",69,88.3
1007,"Memiontec Hldgs","TWL",0.225,11.81,148.673,34.925,70.53,0.31,"Utilities",54,-25.78
1008,"Mencast","5NF",0.049,24.83,22.168,46.684,3.26,NULL,"Energy - Fossil Fuels",82,NULL
1009,"Mercurius","5RF",0.033,-78.77,45.968,0,NULL,NULL,"Real Estate",45,NULL
1010,"Mermaid Maritime","DU4",0.078,-4.26,110.24,269.899,NULL,NULL,"Energy - Fossil Fuels",62,119.34
1011,"Meta Health","5DX",0.021,26.3,11.394,41.553,1.72,NULL,"Retailers",69,7.42
1012,"Metech Intl","V3M",0.062,-35.07,9.396,5.224,NULL,NULL,"Industrial & Commercial Services",79,-66.85
1013,"Metis Energy","L02",0.07,8.99,210.049,9.702,23.73,NULL,"Utilities",66,21.66
1014,"Metro","M01",0.63,1.44,523.876,113.605,23.45,3.17,"Retailers",82,12.05
1015,"Mewah Intl","MV4",0.295,10.8,442.697,6539.629,4.78,3.25,"Food & Beverages",73,21
1016,"MFG Integration","M11",0.047,-14.52,11.332,12.173,NULL,NULL,"Technology Equipment",71,7.32
1017,"Micro-Mechanics","5DD",2.18,30.33,303.09,78.546,18.46,5.5,"Technology Equipment",104,1.13
1018,"Midas","5EN",0.192,NULL,356.959,NULL,NULL,NULL,"Mineral Resources",9,NULL
1019,"MindChamps","CNE",0.181,5.18,43.73,63.406,11.82,NULL,"Personal & Household Products & Services",77,3.36
1020,"Miyoshi","M03",0.017,-20.52,11.551,47.446,NULL,NULL,"Technology Equipment",71,8.32
1021,"MM2 Asia","1B0",0.043,-17.37,119.996,145.715,NULL,NULL,"Cyclical Consumer Services",66,43.42
1022,"MoneyMax Fin","5WJ",0.22,21.51,97.295,242.281,4.03,4.32,"Retailers",68,9.93
1023,"Mooreast","1V3",0.134,NULL,34.706,NULL,NULL,NULL,"Mineral Resources",NULL,NULL
1024,"MSC","NPW",0.62,22.88,827.4,1367.498,6.06,3.55,"Mineral Resources",NULL,29.73
1025,"MSM Intl","5QR",0.047,14.92,4.953,27.22,3.5,NULL,"Industrial Goods",70,38.16
1026,"MTQ","M05",0.23,3.53,49.762,62.086,24.44,2.17,"Energy - Fossil Fuels",73,29.49
1027,"Multi-Chem","AWZ",1.69,17.93,152.261,606.964,6.61,7.99,"Technology Equipment",86,9.92
1028,"Mun Siong Engg","MF6",0.044,-0.36,25.588,74.649,NULL,0.91,"Industrial & Commercial Services",80,34.76
1029,"Murata Yen1k","PJX",0,12.32,5184847,1772262,17.67,1.89,"Industrial Goods",NULL,-0.94
1030,"MYP","F86",0.05,1.94,79.623,16.202,14.37,NULL,"Real Estate",67,-3.29
1031,"Nam Cheong","N4E",0.004,NULL,30.884,102.32,NULL,NULL,"Industrial Goods",61,1.74
1032,"Nam Lee Metal","G0I",0.335,6.36,81.654,229.153,7.98,4.48,"Cyclical Consumer Products",65,15.33
1033,"Nanofilm","MZH",1.31,14.26,869.11,261.358,13.71,1.6,"Chemicals",73,10.21
1034,"Natural Cool","5IF",0.026,-27.39,6.512,143.337,NULL,5.38,"Industrial & Commercial Services",82,0.53
1035,"NauticAWT","42D",0.007,-76.29,5.559,0,NULL,NULL,"Mineral Resources",54,NULL
1036,"NeraTel","N01",0.096,-23.79,34.742,120.668,NULL,NULL,"Technology Equipment",82,11.74
1037,"Net Pacific Fin","5QY",0.021,-4.56,11.038,0.558,NULL,NULL,"Banking & Investment Services",56,NULL
1038,"New Silkroutes","BMT",0.075,NULL,15.893,39.007,NULL,NULL,"Healthcare Services",60,-29.99
1039,"New Toyo","N08",0.21,5.82,92.279,249.439,10.7,8.57,"Applied Resources",71,8.43
1040,"New Wave","5FX",0.008,6.83,13.82,28.372,11.59,NULL,"Mineral Resources",71,35.44
1041,"Nico Steel","5GF",0.001,2.26,4.834,26.547,NULL,NULL,"Mineral Resources",63,5.27
1042,"NIO Inc. USD OV","NIO",10.47,-40.68,17489.674,6359.474,NULL,NULL,"Automobiles & Auto Parts",NULL,31.11
1043,"Nippecraft","N32",0.092,1.74,32.329,179.879,47.54,NULL,"Applied Resources",80,-0.57
1044,"No Signboard","1G6",0.031,NULL,14.334,5.451,NULL,NULL,"Cyclical Consumer Services",57,-31.03
1045,"Nomura Yen1k","N33",1.99,3.91,1747093.875,2121927,14.42,3.52,"Banking & Investment Services",NULL,49.84
1046,"NoonTalk Media","SEJ",0.165,NULL,32.67,NULL,NULL,NULL,"Cyclical Consumer Services",NULL,NULL
1047,"Nordic","MR7",0.465,17.97,186,133.656,10.2,3.81,"Industrial & Commercial Services",70,37.86
1048,"Novo Tellus SPAC","NTA",4.46,NULL,138.343,NULL,NULL,NULL,"Holding Companies",NULL,NULL
1049,"NSL","N02",0.85,3.07,317.525,308.781,22.12,5.88,"Mineral Resources",59,21.85
1050,"NutryFarm","AZT",0.085,NULL,11.681,16.715,NULL,NULL,"Food & Beverages",43,132.62
1051,"OCBC Bank","O39",13.15,9.54,59369.906,7878,11.84,4.26,"Banking & Investment Services",111,3.32
1052,"Ocean Sky Intl","1B6",0.039,-0.05,16.794,25.023,NULL,NULL,"Industrial & Commercial Services",74,-17.28
1053,"Oiltek","HQU",0.22,NULL,31.46,50.327,7.91,NULL,"Food & Beverages",NULL,62.71
1054,"OIO","KUX",0.081,-91.48,15.169,4.634,NULL,NULL,"Financial Technology (Fintech) & Infrastructure",68,NULL
1055,"OKH Global","S3N",0.025,-34.3,28.216,16.458,NULL,NULL,"Industrial & Commercial Services",80,2.02
1056,"OKP","5CF",0.165,1.43,50.891,98.564,29.36,4.24,"Industrial & Commercial Services",73,19.47
1057,"Olam Group","VC2",1.54,NULL,5917.643,NULL,NULL,NULL,"Food & Beverages",84,NULL
1058,"Old Chang Kee","5ML",0.64,13.25,77.68,82.628,15.74,3.13,"Cyclical Consumer Services",77,9.21
1059,"Olive Tree","1H2",0.112,-19.69,12.975,1.143,NULL,NULL,"Real Estate",88,-79.02
1060,"OneApex","5SY",0.19,0.18,16.055,0.929,904.76,NULL,"Real Estate",62,-25.57
1061,"Ossia Intl","O08",0.111,20.88,28.042,27.525,2.91,8.11,"Retailers",55,21.32
1062,"OTS Holdings","OTS",0.16,3.8,34.24,34.136,30.53,1.38,"Food & Beverages",70,-11.35
1063,"OUE","LJ3",1.27,2.13,1091.994,300.806,13.77,1.57,"Real Estate",78,-43.29
1064,"OUE Lippo HC","5WA",0.028,1.81,124.408,52.595,39.44,NULL,"Healthcare Services",84,166.22
1065,"Ouhua Energy","AJ2",0.052,12.59,19.931,833.168,3.49,NULL,"Energy - Fossil Fuels",53,45.85
1066,"Overseas Edu","RQ1",0.245,3.63,101.764,73.562,21.08,5.31,"Academic & Educational Services",87,-3.34
1067,"Oxley","5UX",0.144,0.39,622.405,857.877,158.24,1.74,"Real Estate",78,-23.76
1068,"OxPay Financial","TVV",0.115,65.95,31.722,17.636,7.06,NULL,"Industrial & Commercial Services",63,NULL
1069,"Pacific Andes","P11",0.022,3.95,179.064,1088.897,NULL,NULL,"Food & Beverages",50,-23.8
1070,"Pacific Century","P15",0.405,10.75,1072.501,32.341,14.32,9.04,"Holding Companies",63,29.18
1071,"Pacific Star Dev","1C5",0.043,NULL,21.146,3.673,NULL,NULL,"Real Estate",66,10.43
1072,"PacificRadiance","RXS",0.04,NULL,18.07,-18.039,0,NULL,"Energy - Fossil Fuels",NULL,-424.98
1073,"Pan Hong","P36",0.11,-1.81,57.074,10.236,NULL,13.64,"Real Estate",80,-88.61
1074,"PanUnited","P52",0.4,12.36,280.798,648.361,11.09,4.5,"Mineral Resources",89,31.99
1075,"Parkson Retail","O9E",0.088,NULL,59.602,213.34,1.35,NULL,"Retailers",76,54.87
1076,"PEC","IX2",0.575,5.97,147.036,427.982,10.35,4.35,"Energy - Fossil Fuels",77,12.81
1077,"Pegasus SPAC","PGS",4.7,NULL,143.157,NULL,NULL,NULL,"Holding Companies",NULL,NULL
1078,"Penguin Intl","BTM",0.68,10.26,149.715,151.951,7.8,3.31,"Transportation",95,36.42
1079,"Pharmesis Intl","BFK",0.106,-2.87,2.438,9.069,NULL,NULL,"Pharmaceuticals & Medical Research",76,-11.83
1080,"PlatoCapital","YYN",1.85,-1.56,22.53,0.774,NULL,NULL,"Software & IT Services",69,-29.68
1081,"PNE Industries","BDA",0.74,4.8,62.099,73.725,17.23,6.76,"Industrial Goods",52,14.05
1082,"Polaris","5BI",0.002,-2.6,34.106,70.34,NULL,NULL,"Retailers",66,76.5
1083,"Pollux Prop","5AE",0.058,3.1,160.049,10.988,26.01,NULL,"Real Estate",63,NULL
1084,"Powermatic Data","BCY",2.68,12.41,98.229,27.922,11.46,3.73,"Technology Equipment",63,6.37
1085,"Procurri","BVQ",0.27,6.16,85.697,244.813,23,NULL,"Software & IT Services",87,-1.63
1086,"PropNex","OYY",1.68,58.01,621.6,972.795,10.56,7.44,"Real Estate",76,11.68
1087,"Prudential USD","K6S",10,3.76,35154.523,1495.634,69.05,1.11,"Insurance",NULL,-96.64
1088,"PSC Corporation","DM0",0.335,7.63,191.284,556.849,7.95,2.24,"Applied Resources",70,8.46
1089,"Q&M Dental","QC7",0.355,16.09,342.882,186.725,20.12,9.11,"Healthcare Services",90,NULL
1090,"QAF","Q01",0.86,5.65,494.731,560.826,17.22,5.81,"Food & Beverages",78,2.69
1091,"Qian Hu","BCV",0.22,2.87,24.976,75.265,17.84,1.36,"Food & Beverages",101,-5.92
1092,"Quantum Health","V8Y",0.006,NULL,41.358,NULL,NULL,NULL,"Healthcare Services",NULL,NULL
1093,"Raffles Edu","NR7",0.055,1.43,80.215,105.371,7.83,NULL,"Academic & Educational Services",60,NULL
1094,"Raffles Infrastructure","LUY",0.035,8.06,2.379,13.502,0.75,NULL,"Industrial & Commercial Services",86,620.39
1095,"Raffles Medical","BSL",1.47,11.25,2760.786,762.28,26.4,1.22,"Healthcare Services",88,13.67
1096,"RE&S Hldg","1G1",0.25,24.85,88.5,157.441,9.36,6.8,"Cyclical Consumer Services",96,23.16
1097,"Reclaims Global","NEX",0.093,8.63,12.183,31.586,5.17,10.75,"Industrial & Commercial Services",64,-10.37
1098,"Reenova Investment","5EC",0.003,-144.56,19.709,0,NULL,NULL,"Banking & Investment Services",66,NULL
1099,"Regal Intl","UV1",0.115,-69.17,25.029,18.973,NULL,NULL,"Real Estate",49,-20.85
1100,"Renaissance United","I11",0.001,-25.27,6.181,79.895,NULL,NULL,"Utilities",59,-0.81
1101,"Resources Gbl","QSD",1.14,47.73,102.6,140.013,6.02,0.88,"Energy - Fossil Fuels",78,45.1
1102,"Revez","RCU",0.063,-13.54,10.552,7.804,NULL,NULL,"Software & IT Services",61,-8.63
1103,"Rex Intl","5WH",0.215,28.58,282.834,241.443,4.39,2.33,"Energy - Fossil Fuels",88,68.9
1104,"RH PetroGas","T13",0.2,262.76,166.643,132.046,4.05,NULL,"Energy - Fossil Fuels",53,NULL
1105,"Rich Capital","5G4",0.001,-48.7,7.343,6.084,NULL,NULL,"Real Estate",56,NULL
1106,"Riverstone","AP4",0.63,NULL,935.49,NULL,NULL,14.85,"Healthcare Services",66,NULL
1107,"Sakae","5DO",0.1,1.82,14.2,17.178,13.14,5,"Cyclical Consumer Services",77,-18.78
1108,"Samko Timber","E6R",0.019,32.69,45.755,375.978,42.34,NULL,"Applied Resources",81,24.56
1109,"SamuderaShipping","S56",1.24,79.22,668.523,1052.565,1.91,6.25,"Transportation",74,107.83
1110,"Samurai 2K","Y8E",0.165,11.6,55.212,34.059,17.48,2.42,"Chemicals",69,0.22
1111,"Sanli Env","1.00E+03",0.097,8.4,26.06,75.723,11.11,3.87,"Industrial & Commercial Services",68,20.92
1112,"Sapphire","BRD",0.065,5.36,26.493,27.464,4.02,NULL,"Industrial & Commercial Services",64,-70.83
1113,"Sarine Tech","U77",0.43,14.46,153.295,75.979,10.94,5.09,"Industrial Goods",60,5.13
1114,"SATS","S58",3.03,-1.61,3406.879,1411.766,NULL,NULL,"Transportation",122,28.46
1115,"SBI Offshore","5PL",0.038,-18.55,9.336,0,NULL,NULL,"Energy - Fossil Fuels",68,-100.0
1116,"SBS Transit","S61",2.68,8.08,835.798,1402.42,16.78,2.95,"Transportation",102,10.55
1117,"Secura","43B",0.07,4.86,28,40.746,13.44,5.71,"Industrial & Commercial Services",72,15.7
1118,"Sembcorp Ind","U96",3.74,18.94,6685.429,9260,9.41,1.87,"Utilities",110,77.6
1119,"Sembcorp Marine","S51",0.135,-19.36,4237.528,2112.992,NULL,NULL,"Industrial Goods",97,45.9
1120,"Sen Yue","5BS",0.022,-188.16,21.37,55.548,NULL,NULL,"Mineral Resources",58,-68.28
1121,"Serial System","S69",0.09,3.91,81.521,1219.862,10.76,6.22,"Industrial Goods",83,7.6
1122,"Seroja Inv","IW5",0.079,-3.99,30.38,0,NULL,NULL,"Transportation",70,NULL
1123,"Sevens Atelier","5EW",0.09,3.08,19.278,16.1,49.18,NULL,"Industrial & Commercial Services",84,5.72
1124,"SGX","S68",9.19,35.64,9848.394,1148.878,19.63,3.48,"Banking & Investment Services",113,8.72
1125,"Shanaya","SES",0.078,NULL,8.799,6.793,NULL,NULL,"Industrial & Commercial Services",55,NULL
1126,"Shanghai Turbo","AWM",0.062,-23.86,1.892,12.832,NULL,NULL,"Industrial Goods",49,15.03
1127,"Shangri-La HKD","S07",8.26,-6.79,29616.438,10382.774,NULL,NULL,"Cyclical Consumer Services",NULL,17.5
1128,"Shen Yao","A78",0.001,-3.33,33.706,79.177,NULL,NULL,"Mineral Resources",63,-13.59
1129,"Sheng Siong","OV8",1.62,33.16,2435.73,1350.235,18.36,3.86,"Food & Drug Retailing",77,0.09
1130,"Shenshan","BKV",0.24,3.44,19.159,21.739,3.07,NULL,"Food & Beverages",57,3.63
1131,"Shopper360","1F0",0.112,5.64,12.813,51.435,12.18,3.13,"Cyclical Consumer Services",84,14.13
1132,"SIA","C6L",5.88,3.55,17507.955,13204.4,21.79,NULL,"Transportation",95,163.65
1133,"SIA Engineering","S59",2.46,4.62,2765.326,664.772,36.93,NULL,"Transportation",103,37.48
1134,"SIIC Environment","BHK",0.198,8.1,509.982,1561.046,3.42,7.58,"Utilities",82,11.23
1135,"Silverlake Axis","5CP",0.37,18.07,997.695,226.394,17.6,1.89,"Financial Technology (Fintech) & Infrastructure",98,17.64
1136,"Sim Leisure","URR",0.265,5.47,43.822,12.032,44.6,NULL,"Cyclical Consumer Services",44,276.05
1137,"Sin Heng Mach","BKA",0.465,3.67,53.423,54.647,13.6,2.15,"Industrial Goods",75,14.75
1138,"Sinarmas Land","A26",0.186,6.28,846.173,1042.541,4.22,0.48,"Industrial & Commercial Services",78,6.14
1139,"Sincap","5UN",0.005,-2.17,16.297,4.801,NULL,NULL,"Energy - Fossil Fuels",39,-92.58
1140,"Sing Inv & Fin","S35",1.54,8.25,242.744,75.959,7.41,5.19,"Banking & Investment Services",108,NULL
1141,"Sing Paincare","FRQ",0.22,15.71,39.517,18.837,10.13,5.45,"Healthcare Services",63,71.93
1142,"SingaporeKitchen","5WG",0.059,NULL,8.96,NULL,NULL,8.47,"Cyclical Consumer Products",75,NULL
1143,"SingaporeLandGrp","U06",2.32,7.82,3323.788,578.89,5.55,1.51,"Real Estate",87,2.43
1144,"SingHoldings","5IC",0.365,3.9,146.363,117.147,12.01,2.74,"Real Estate",69,-1.02
1145,"SingPost","S08",0.555,1.7,1276.744,1893.069,46.84,2.67,"Transportation",111,32.54
1146,"SingShipping","S19",0.245,8.18,100.604,60.687,8.45,4.08,"Industrial Goods",81,2.92
1147,"Singtel","Z74",2.52,7.85,41616.879,14945.5,19.28,3.73,"Telecommunications Services",114,-5.84
1149,"Sinjia Land","5HH",0.043,-49.05,9.548,0.45,NULL,NULL,"Cyclical Consumer Services",61,33.93
1150,"Sino Grandness","T4B",0.02,6.2,22.344,573.804,NULL,NULL,"Food & Beverages",42,-12.27
1151,"SinoCloud","5EK",0.001,-134.52,15.878,2.049,NULL,NULL,"Software & IT Services",66,56.27
1152,"Sinostar Pec","C9Q",0.18,4.87,115.2,947.822,9.69,3.33,"Energy - Fossil Fuels",74,12.81
1153,"Sitra","5LE",0.011,NULL,16.316,29.535,NULL,NULL,"Applied Resources",65,38.26
1154,"SLB Dev","1J0",0.113,11.47,103.169,91.168,4.62,1.77,"Real Estate",69,44.17
1155,"SMI Vantage","Y45",0.03,-27.3,17.197,0.736,NULL,NULL,"Banking & Investment Services",60,NULL
1156,"Soilbuild Const","S7P",0.032,-13.09,38.184,271.11,NULL,NULL,"Industrial & Commercial Services",80,29.62
1157,"Soon Lian","5MD",0.21,27.7,22.68,68.125,2.17,1.43,"Mineral Resources",78,68.75
1158,"Soup Holdings","5KI",0.084,16.37,25.074,33.569,13.75,2.38,"Cyclical Consumer Services",74,12
1159,"Southern Arch","A33",0.003,-357.89,82.712,4.25,NULL,NULL,"Real Estate",47,34.19
1160,"Southern Pkg","BQP",0.28,-0.35,19.689,139.817,NULL,1.61,"Applied Resources",70,8.17
1161,"SouthernAlliance","QNS",0.595,4.5,290.955,54.921,58.17,0.37,"Mineral Resources",65,-53.87
1162,"Spackman","40E",0.003,NULL,5.848,NULL,NULL,NULL,"Cyclical Consumer Services",63,NULL
1163,"Spura Finance","S23",0.795,3.59,126.155,29.55,14.07,2.52,"Banking & Investment Services",87,-0.03
1164,"Sri Trang Agro","NC2",0.92,11.13,36710.398,113738.055,6.77,11.92,"Automobiles & Auto Parts",61,-2.05
1165,"Sri Trang Gloves","STG",0.4,9.15,32663.051,26829.357,9.25,21.05,"Healthcare Services",NULL,-49.33
