"id","tradingName","stockCode","lastPrice","roe","marketcap","totalRev","pe","yieldPercent","sector","gtiScore","oneYearChange"
679,"Abundante","570",0.14,16.33,14.601,8.361,4.89,7.14,"Mineral Resources",64,15.37
680,"Challenger","573",0.52,9.6,208.915,278.439,14.81,5.38,"Retailers",69,-3.36
681,"ASTI","575",0.014,-6.29,9.548,60.521,NULL,NULL,"Technology Equipment",68,8.84
682,"KS Energy","578",0.013,NULL,16.627,39.982,NULL,NULL,"Energy - Fossil Fuels",49,20.89
683,"Oceanus","579",0.013,2.54,332.375,173.573,260,NULL,"Food & Beverages",60,27.53
684,"Santak","580",0.055,-6.71,5.917,11.677,NULL,NULL,"Industrial Goods",78,-1.25
685,"Sunrise Shares","581",0.037,5.09,7.745,1.056,26.43,NULL,"Real Estate",58,-24.72
686,"Progen","583",0.051,-10.59,19.916,3.684,NULL,NULL,"Industrial & Commercial Services",61,3.19
687,"OEL","584",0.009,-76.73,8.404,0.462,NULL,NULL,"Healthcare Services",70,-17.79
688,"Asian Micro","585",0.005,-7.72,8.033,4.773,NULL,NULL,"Utilities",53,24.57
689,"Global Dragon","586",0.105,4.31,71.607,65.959,20,9.52,"Real Estate",58,-26.68
690,"CapAllianz","594",0.002,-3.13,17.105,4.925,NULL,NULL,"Energy - Fossil Fuels",49,54
691,"GKE","595",0.086,2.09,68.344,104.52,35.25,2.33,"Transportation",83,-8.25
692,"Pavillon","596",0.027,-103.82,38.744,12.602,NULL,NULL,"Cyclical Consumer Services",44,28.66
693,"Hyflux","600",0.21,-247.15,174.141,150.18,NULL,NULL,"Utilities",38,-62.41
694,"5E Resources","NLC",0.26,NULL,38.343,15.889,20.16,NULL,"Industrial & Commercial Services",NULL,NULL
695,"8Telecom","AZG",0.069,NULL,7.876,0.802,NULL,NULL,"Technology Equipment",57,-26.76
696,"9R","1Y1",0.054,-434.2,54.35,3.469,NULL,NULL,"Industrial Goods",50,-12.36
697,"A-Smart","BQC",0.29,-7.15,43.228,6.144,NULL,NULL,"Industrial & Commercial Services",55,4.33
698,"A-Sonic Aero","BTJ",0.74,16.85,65.795,609.217,6.17,1.08,"Transportation",47,74.82
699,"Abterra","L5I",0.045,98.84,12.811,5.49,NULL,NULL,"Energy - Fossil Fuels",-6.0,-89.06
700,"Accrelist Ltd","QZG",0.049,-65.69,14.883,171.241,NULL,NULL,"Technology Equipment",47,-18.91
701,"Acesian Partners","5FW",0.066,48.21,32.901,26.311,8.19,NULL,"Industrial & Commercial Services",68,160.97
702,"Acma","AYV",0.027,-20.29,1.145,46.178,NULL,NULL,"Industrial Goods",61,-30.08
703,"AcroMeta","43F",0.033,23.4,9.145,63.261,3.99,NULL,"Industrial & Commercial Services",69,117.36
704,"Addvalue Tech","A31",0.012,-106.61,38.904,8.351,NULL,NULL,"Technology Equipment",44,76.33
705,"Advanced","BLZ",0.081,-3.65,8.385,41.852,NULL,NULL,"Energy - Fossil Fuels",93,1.3
706,"Advanced Systems","5TY",0.001,NULL,22.324,27.971,25,NULL,"Technology Equipment",56,58.47
707,"Advancer Global","43Q",0.101,-6.82,25.489,61.707,NULL,NULL,"Industrial & Commercial Services",64,5.08
708,"Adventus","5EF",0.007,-0.88,17.161,0,NULL,NULL,"Real Estate",66,NULL
709,"Aedge Group","XVG",0.255,NULL,27.03,NULL,NULL,3.92,"Industrial & Commercial Services",47,NULL
710,"AEM SGD","AWX",3.32,40.52,1035.32,913.694,7.01,3.52,"Technology Equipment",78,108.84
712,"AF Global","L38",0.087,-1.51,91.841,9.289,NULL,NULL,"Cyclical Consumer Services",65,103.8
713,"AGV","1A4",0.01,NULL,9.98,NULL,NULL,NULL,"Holding Companies",18,NULL
714,"AIMS Property","BVP",1.18,3.26,57.43,5.614,14.2,NULL,"Real Estate",NULL,-60.0
715,"Alita Resources","40F",0.078,-43.51,115.031,66.687,NULL,NULL,"Mineral Resources",48,NULL
716,"Alliance HC","MIJ",0.173,15.04,35.965,54.757,11.54,2.6,"Healthcare Services",67,17.97
717,"AlphaDX","VVL",0.112,-1317.81,27.211,9.043,NULL,NULL,"Software & IT Services",NULL,NULL
718,"Alpina Holdings","ZXY",0.175,NULL,32.259,51.89,3.47,3.25,"Industrial & Commercial Services",NULL,NULL
719,"Alset","40V",0.033,-50.02,115.26,26.182,NULL,NULL,"Real Estate",79,4.54
720,"Amara","A34",0.345,1.21,199.043,71.519,41.42,1.45,"Cyclical Consumer Services",63,10.01
721,"Amcorp Global","S9B",0.12,-9.35,53.625,77.473,NULL,NULL,"Real Estate",74,252.95
722,"AMOS Group","49B",0.14,-15.72,29.166,98.507,NULL,NULL,"Industrial Goods",54,-1.76
723,"Amplefield Ltd","AOF",0.026,-8.58,23.416,12.176,NULL,NULL,"Real Estate",82,290.13
724,"AMTD IDEA OV","HKB",12.93,13.36,319.076,117.667,0.65,NULL,"Banking & Investment Services",NULL,21.76
725,"AnAn Intl","Y35",0.024,24.27,101.596,3838.775,4.24,NULL,"Energy - Fossil Fuels",32,75.43
726,"Anchun Intl","BTX",0.28,5.3,14.14,32.109,4.73,NULL,"Industrial Goods",55,104.08
727,"AnnAik","A52",0.072,7.46,21.172,122.771,4.38,9.72,"Mineral Resources",74,113.27
728,"Annica","5AL",0.001,-139.12,16.975,6.674,NULL,NULL,"Energy - Fossil Fuels",47,NULL
729,"Aoxin Q & M","1D4",0.108,-1.57,55.219,27.968,NULL,NULL,"Healthcare Services",82,-14.42
730,"AP Oil","5AU",0.157,3.53,25.831,59.093,12.41,6.37,"Chemicals",71,4.1
731,"AP Strategic","5RA",0.002,-43.15,35.657,1.207,NULL,NULL,"Cyclical Consumer Services",51,0.75
