Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,1-yr %Rev. Chg.
ChasWood Res,5TW,0.009,,2.202,0.921,,,Cyclical Consumer Services,41,
Chemical Ind,C05,0.77,8.02,58.478,100.533,5.85,1.95,Chemicals,60,49.06
China Aviation,G92,1.05,4.01,909.493,24177.564,19.04,1.81,Transportation,78,31.93
China Env,5OU,0.037,-23.23,30.296,1.144,,,Industrial & Commercial Services,59,
China Env Res,RS1,0.006,-4.01,83.498,93.188,,,Automobiles & Auto Parts,,19.66
China Everbright,U9E,0.245,9.96,700.915,1228.933,3.54,8.86,Utilities,74,9.35
China Fishery,B0Z,0.076,2.22,264.213,646.305,,,Food & Beverages,45,-20.31
China Intl,BEH,0.102,-17.25,7.739,20.243,,,Industrial & Commercial Services,70,-32.79
China Mining,BHD,0.03,35.59,12.24,5.787,0.63,,Real Estate,60,1527.83
China Yuanbang,BCD,0.18,-13.39,12.492,15.483,,,Real Estate,58,-84.17
ChinaKangdaFood,P74,0.045,-1.29,129.884,1859.101,,,Food & Beverages,56,4.13
ChinaKundaTech,GU5,0.017,-41.99,6.967,3.854,,,Chemicals,67,-35.94
ChinaSunsine,QES,0.47,20.74,462.192,780.231,3.49,2.13,Chemicals,57,30.89
Chip Eng Seng,C29,0.75,0.88,618.014,1129.245,85.42,2.67,Real Estate,81,12.13
Choo Chiang,42E,0.31,15.51,64.48,82.39,7.89,7.42,Industrial Goods,69,16.53
Chuan Hup,C33,0.22,0.81,203.562,20.85,77.56,4.55,Real Estate,60,-19.67
CityDev,C09,8.16,14.68,7419.899,2906.217,5.95,,Real Estate,113,30.46
Civmec,P9D,0.66,14.47,333.387,696.58,8.51,5.42,Industrial & Commercial Services,84,42.61
Clearbridge,1H3,0.034,-37.99,21.019,37.939,,,Healthcare Services,70,22.32
CNMC Goldmine,5TP,0.188,4.49,76.646,44.999,32.83,1.06,Mineral Resources,65,29.22
Comba,STC,0.255,,,,,,,,
Combine Will,N0Z,0.855,6.34,27.64,194.028,3.55,5.85,Personal & Household Products & Services,79,7.89
ComfortDelGro,C52,1.2,5.8,2600.938,3655.7,16.47,4.13,Transportation,101,5.92
Cordlife,P8A,0.33,4.15,88.283,59.737,15.26,2.73,Healthcare Services,66,15.56
Cortina,C41,3.9,27.11,645.756,799.155,7.95,0.51,Retailers,58,36.04
COSCO SHP SG,F83,0.199,5.26,445.61,196.036,15.11,,Transportation,69,0.82
CosmoSteel,B9S,0.13,2.84,37.752,46.083,16.35,5.77,Mineral Resources,82,17.08
Courage Inv,CIN,0.016,20.37,87.816,102.234,0.99,,Transportation,,69.61
Creative,C76,1.66,-13.36,124.5,81.279,,,Technology Equipment,38,-27.4
CreditBureauAsia,TCU,0.985,16.68,226.934,46.588,28.7,3.45,Industrial & Commercial Services,63,3.27
CSC,C06,0.009,-14.08,32.295,263.664,,,Industrial & Commercial Services,71,6.05
Darco Water Tech,BLR,0.11,-13.23,10.321,68.797,,,Utilities,62,1.69
Datapulse Tech,BKW,0.108,-5.35,23.755,1.921,,,Real Estate,64,84.71
DBS,D05,36.03,11.63,93231.859,10871,14.03,4,Banking & Investment Services,115,4.6
Debao Property,BTF,0.128,-3.64,9.27,37.082,,15.63,Real Estate,40,-39.45
Del Monte Pac,D03,0.315,13.58,1083.649,3160.378,7.12,7.59,Food & Beverages,107,6.48
Delfi,P34,0.865,15.57,528.651,584.379,10.97,4.18,Food & Beverages,64,14.75
DFIRG USD,D01,3.33,2.68,4506.994,8961.7,157.45,2.25,Food & Drug Retailing,,-6.31
Digilife Tech,BAI,1.7,,23.597,,,,Telecommunications Services,73,
Don Agro,GRQ,0.205,12.91,30.806,39.576,3.28,4.16,Food & Beverages,43,18.11
Dragon,MT1,0.004,,1.34,3.775,,,Industrial Goods,64,30.34
Duty Free Intl,5SO,0.132,3.05,162.254,40.947,48.14,1.52,Retailers,54,-7.24
Dyna-Mac,NO4,0.2,20.67,206.102,237.893,33.67,,Industrial Goods,56,
Econ Healthcare,EHG,0.196,1.15,50.372,49.723,125.64,1.17,Healthcare Services,51,5.78
EcoWise,5CT,0.078,-12.04,70.223,29.581,,,Industrial & Commercial Services,78,-16.83
Edition,5HG,0.004,-29.26,10.093,0.212,,,Food & Beverages,58,-8.62
Eindec,42Z,0.038,12.77,4.093,22.53,4.83,,Industrial & Commercial Services,58,-9.79
Ellipsiz,BIX,0.265,2.2,44.289,55.215,17.93,3.77,Technology Equipment,74,-1.06
Emperador Inc.,EMI,0.505,12.65,327318.594,60218.887,33.27,,Food & Beverages,,6.16
Eneco Energy,R14,0.014,-10.57,32.349,44.023,,,Energy - Fossil Fuels,38,15.37
EnGro,S44,1.05,10.76,124.638,131.928,4,2.38,Mineral Resources,69,15.69
Envictus,BQD,0.144,-3.99,43.837,158.477,,,Cyclical Consumer Services,53,34.93
Enviro-Hub,L23,0.035,4.22,53.795,45.559,16.75,,Industrial & Commercial Services,57,35.15
ES,5RC,0.045,-14.93,6.354,28.735,,,Industrial Goods,72,68.35
