Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,1-yr %Rev. Chg.
JMH USD,J36,52.2,8.5,15128.821,36647,6.33,4.04,Consumer Goods Conglomerates,,7.05
Joyas Intl,E9L,0.003,-8.32,6.641,0.707,,,Banking & Investment Services,26,
Jubilee,NHD,0.034,-24.88,10.804,159.55,,,Industrial Goods,56,-21.3
Jumbo,42R,0.31,-0.2,199.534,115.56,,,Cyclical Consumer Services,66,41.29
Karin Tech,K29,0.34,4.62,73.562,336.439,21.18,625.44,Technology Equipment,75,6.24
Katrina,1A0,0.028,,6.509,,,,Cyclical Consumer Services,61,
Kencana Agri,BNE,0.121,36.69,34.728,177.058,2.54,,Food & Beverages,56,25.51
Keong Hong,5TT,0.275,-34.04,66.705,148.067,,,Industrial & Commercial Services,57,
Keppel Corp,BN4,7.1,7.1,12925.96,6619.718,15.16,4.65,Consumer Goods Conglomerates,110,0.13
Khong Guan,K03,1.28,0.63,33.04,69.686,88.95,1.56,Food & Beverages,53,11.81
Kim Heng,5G2,0.086,5.26,61.06,64.761,21.55,,Energy - Fossil Fuels,63,32.45
Kimly,1D0,0.34,23.07,425.001,317.748,12.41,4.94,Cyclical Consumer Services,61,33.15
KingsmenCreative,5MZ,0.29,1.1,58.565,278.487,50.35,,Industrial & Commercial Services,77,-0.91
Kitchen Culture,5TI,0.08,-29.73,32.764,10.787,,,Retailers,40,-9.6
Koda,BJZ,0.305,11.1,25.388,105.156,3.37,3.28,Cyclical Consumer Products,82,-4
Koh Bros,K75,0.146,2.09,63.948,350.682,10.01,1.37,Industrial & Commercial Services,64,38.82
Koh Eco,5HV,0.036,1.51,101.446,209.374,43.9,0.69,Industrial & Commercial Services,63,15.95
KOP,5I1,0.044,-39.2,48.75,21.51,,,Cyclical Consumer Services,73,83.89
Kori,5VC,0.165,2.23,16.368,20.43,13.85,,Industrial & Commercial Services,79,27.73
Koyo Intl,5OC,0.055,-10.68,10.787,32.505,,,Industrial & Commercial Services,73,29.03
KrisEnergy,SK3,0.03,,44.926,60.16,,,Energy - Fossil Fuels,78,-64.13
KSH,ER0,0.34,7.38,193.71,268.183,7.85,5.88,Industrial & Commercial Services,67,15.45
KTL Global,EB7,0.116,-1425.09,39.431,0.942,,,Cyclical Consumer Services,57,162.59
KTMG,XCF,0.2,21.13,33.936,121.323,8.02,,Cyclical Consumer Products,65,63.36
Leader Env,LS9,0.074,-8.11,113.581,9.004,,,Industrial & Commercial Services,73,39.65
Ley Choon,Q0X,0.019,17.94,28.61,107.17,4.43,,Industrial & Commercial Services,69,
LHN,41O,0.3,27.64,122.684,111.772,2.68,5.33,Real Estate,88,-7.61
LHN Logistics,GIH,0.142,,23.81,,,4.23,Transportation,,
LHT,BEI,0.705,9.28,37.538,36.563,7.3,4.26,Applied Resources,78,9.81
Lian Beng,L03,0.515,6.67,272.826,832.023,5.09,5.83,Industrial & Commercial Services,70,19.84
LifeBrandz,1D3,0.001,-34.71,2.06,0.22,,,Cyclical Consumer Services,24,547.06
Lincotrade,BFT,0.13,-8.49,22.364,0,,,Chemicals,68,
Lion Asiapac,BAZ,0.305,-3.33,24.737,30.706,,,Mineral Resources,46,43.53
Livingstone,PRH,0.077,41.76,33.602,34.544,15.07,1.56,Healthcare Services,48,
LMS Compliance,LMS,0.29,,25.356,,,,Industrial & Commercial Services,,
Lonza,O6Z,79.97,11.94,40466.32,6223,33.26,0.32,Pharmaceuticals & Medical Research,,15.05
Lorenzo Intl,5IE,0.016,-168.79,6.578,27.54,,,Retailers,50,19.1
Low Keng Huat,F1E,0.415,-4.34,306.609,122.468,,4.82,Industrial & Commercial Services,73,-12.17
LS 2 Holdings,ENV,0.193,-0.74,35.705,58.229,19300,,Industrial & Commercial Services,,12.23
Lum Chang,L19,0.37,-4.85,142.461,416.79,,4.73,Industrial & Commercial Services,90,28
Luminor,5UA,0.085,13.21,14.232,6.877,4.36,,Real Estate,70,-0.44
Lung Kee Bermuda,L09,0.73,7.44,1673.945,1991.925,10.41,9.81,Industrial Goods,,-13.33
Luxking,BKK,0.2,1.8,2.53,112.508,5.9,,Chemicals,68,13.14
LY Corp,1H8,0.1,4.22,48.914,70.208,16.62,1.3,Cyclical Consumer Products,73,0.62
Magnus Energy,41S,0.001,50.63,12.599,15.49,,,Energy - Fossil Fuels,59,45.4
Man Oriental USD,M04,1.89,-0.12,2388.337,413.5,,,Cyclical Consumer Services,,117.63
MarcoPolo Marine,5LY,0.044,16.82,165.345,86.095,7.28,,Transportation,60,86.73
Maruwa Yen1k,M12,0,18.96,218242.078,58851,13.8,0.42,Technology Equipment,,15.53
Mary Chia,5OX,0.025,,5.804,11.392,,,Personal & Household Products & Services,55,-10.18
Matex Intl,M15,0.025,-64.6,7.792,18.502,,,Chemicals,65,-15.28
MDR Limited,Y3D,0.07,-0.96,63.495,175.908,,6.52,Retailers,,-13.11
Medi Lifestyle,5TN,0.008,,4.778,0.914,,,Healthcare Services,78,362.8
Medinex,OTX,0.22,8.09,29.192,12.673,20.48,6.77,Industrial & Commercial Services,71,9.16
MegaChem,5DS,0.55,14.5,73.315,148.167,8.89,3.64,Chemicals,81,24.37
MeGroup,SJY,0.099,11.12,11.833,116.565,8.93,3.89,Automobiles & Auto Parts,69,88.3
Memiontec Hldgs,TWL,0.225,11.81,148.673,34.925,70.53,0.31,Utilities,54,-25.78
Mencast,5NF,0.049,24.83,22.168,46.684,3.26,,Energy - Fossil Fuels,82,
Mercurius,5RF,0.033,-78.77,45.968,0,,,Real Estate,45,
Mermaid Maritime,DU4,0.078,-4.26,110.24,269.899,,,Energy - Fossil Fuels,62,119.34
Meta Health,5DX,0.021,26.3,11.394,41.553,1.72,,Retailers,69,7.42
Metech Intl,V3M,0.062,-35.07,9.396,5.224,,,Industrial & Commercial Services,79,-66.85
Metis Energy,L02,0.07,8.99,210.049,9.702,23.73,,Utilities,66,21.66
Metro,M01,0.63,1.44,523.876,113.605,23.45,3.17,Retailers,82,12.05
Mewah Intl,MV4,0.295,10.8,442.697,6539.629,4.78,3.25,Food & Beverages,73,21
MFG Integration,M11,0.047,-14.52,11.332,12.173,,,Technology Equipment,71,7.32
Micro-Mechanics,5DD,2.18,30.33,303.09,78.546,18.46,5.5,Technology Equipment,104,1.13
Midas,5EN,0.192,,356.959,,,,Mineral Resources,9,
MindChamps,CNE,0.181,5.18,43.73,63.406,11.82,,Personal & Household Products & Services,77,3.36
Miyoshi,M03,0.017,-20.52,11.551,47.446,,,Technology Equipment,71,8.32
MM2 Asia,1B0,0.043,-17.37,119.996,145.715,,,Cyclical Consumer Services,66,43.42
MoneyMax Fin,5WJ,0.22,21.51,97.295,242.281,4.03,4.32,Retailers,68,9.93
Mooreast,1V3,0.134,,34.706,,,,Mineral Resources,,
MSC,NPW,0.62,22.88,827.4,1367.498,6.06,3.55,Mineral Resources,,29.73
MSM Intl,5QR,0.047,14.92,4.953,27.22,3.5,,Industrial Goods,70,38.16
MTQ,M05,0.23,3.53,49.762,62.086,24.44,2.17,Energy - Fossil Fuels,73,29.49
Multi-Chem,AWZ,1.69,17.93,152.261,606.964,6.61,7.99,Technology Equipment,86,9.92
Mun Siong Engg,MF6,0.044,-0.36,25.588,74.649,,0.91,Industrial & Commercial Services,80,34.76
Murata Yen1k,PJX,0,12.32,5184847,1772262,17.67,1.89,Industrial Goods,,-0.94
MYP,F86,0.05,1.94,79.623,16.202,14.37,,Real Estate,67,-3.29
Nam Cheong,N4E,0.004,,30.884,102.32,,,Industrial Goods,61,1.74
Nam Lee Metal,G0I,0.335,6.36,81.654,229.153,7.98,4.48,Cyclical Consumer Products,65,15.33
Nanofilm,MZH,1.31,14.26,869.11,261.358,13.71,1.6,Chemicals,73,10.21
Natural Cool,5IF,0.026,-27.39,6.512,143.337,,5.38,Industrial & Commercial Services,82,0.53
NauticAWT,42D,0.007,-76.29,5.559,0,,,Mineral Resources,54,
NeraTel,N01,0.096,-23.79,34.742,120.668,,,Technology Equipment,82,11.74
Net Pacific Fin,5QY,0.021,-4.56,11.038,0.558,,,Banking & Investment Services,56,
New Silkroutes,BMT,0.075,,15.893,39.007,,,Healthcare Services,60,-29.99
New Toyo,N08,0.21,5.82,92.279,249.439,10.7,8.57,Applied Resources,71,8.43
New Wave,5FX,0.008,6.83,13.82,28.372,11.59,,Mineral Resources,71,35.44
Nico Steel,5GF,0.001,2.26,4.834,26.547,,,Mineral Resources,63,5.27
NIO Inc. USD OV,NIO,10.47,-40.68,17489.674,6359.474,,,Automobiles & Auto Parts,,31.11
Nippecraft,N32,0.092,1.74,32.329,179.879,47.54,,Applied Resources,80,-0.57
No Signboard,1G6,0.031,,14.334,5.451,,,Cyclical Consumer Services,57,-31.03
Nomura Yen1k,N33,1.99,3.91,1747093.875,2121927,14.42,3.52,Banking & Investment Services,,49.84
NoonTalk Media,SEJ,0.165,,32.67,,,,Cyclical Consumer Services,,
Nordic,MR7,0.465,17.97,186,133.656,10.2,3.81,Industrial & Commercial Services,70,37.86
Novo Tellus SPAC,NTA,4.46,,138.343,,,,Holding Companies,,
NSL,N02,0.85,3.07,317.525,308.781,22.12,5.88,Mineral Resources,59,21.85
NutryFarm,AZT,0.085,,11.681,16.715,,,Food & Beverages,43,132.62
OCBC Bank,O39,13.15,9.54,59369.906,7878,11.84,4.26,Banking & Investment Services,111,3.32
Ocean Sky Intl,1B6,0.039,-0.05,16.794,25.023,,,Industrial & Commercial Services,74,-17.28
Oiltek,HQU,0.22,,31.46,50.327,7.91,,Food & Beverages,,62.71
OIO,KUX,0.081,-91.48,15.169,4.634,,,Financial Technology (Fintech) & Infrastructure,68,
OKH Global,S3N,0.025,-34.3,28.216,16.458,,,Industrial & Commercial Services,80,2.02
OKP,5CF,0.165,1.43,50.891,98.564,29.36,4.24,Industrial & Commercial Services,73,19.47
Olam Group,VC2,1.54,,5917.643,,,,Food & Beverages,84,
Old Chang Kee,5ML,0.64,13.25,77.68,82.628,15.74,3.13,Cyclical Consumer Services,77,9.21
Olive Tree,1H2,0.112,-19.69,12.975,1.143,,,Real Estate,88,-79.02
OneApex,5SY,0.19,0.18,16.055,0.929,904.76,,Real Estate,62,-25.57
Ossia Intl,O08,0.111,20.88,28.042,27.525,2.91,8.11,Retailers,55,21.32
OTS Holdings,OTS,0.16,3.8,34.24,34.136,30.53,1.38,Food & Beverages,70,-11.35
OUE,LJ3,1.27,2.13,1091.994,300.806,13.77,1.57,Real Estate,78,-43.29
OUE Lippo HC,5WA,0.028,1.81,124.408,52.595,39.44,,Healthcare Services,84,166.22
Ouhua Energy,AJ2,0.052,12.59,19.931,833.168,3.49,,Energy - Fossil Fuels,53,45.85
Overseas Edu,RQ1,0.245,3.63,101.764,73.562,21.08,5.31,Academic & Educational Services,87,-3.34
Oxley,5UX,0.144,0.39,622.405,857.877,158.24,1.74,Real Estate,78,-23.76
OxPay Financial,TVV,0.115,65.95,31.722,17.636,7.06,,Industrial & Commercial Services,63,
Pacific Andes,P11,0.022,3.95,179.064,1088.897,,,Food & Beverages,50,-23.8
Pacific Century,P15,0.405,10.75,1072.501,32.341,14.32,9.04,Holding Companies,63,29.18
Pacific Star Dev,1C5,0.043,,21.146,3.673,,,Real Estate,66,10.43
PacificRadiance,RXS,0.04,,18.07,-18.039,0,,Energy - Fossil Fuels,,-424.98
Pan Hong,P36,0.11,-1.81,57.074,10.236,,13.64,Real Estate,80,-88.61
PanUnited,P52,0.4,12.36,280.798,648.361,11.09,4.5,Mineral Resources,89,31.99
Parkson Retail,O9E,0.088,,59.602,213.34,1.35,,Retailers,76,54.87
PEC,IX2,0.575,5.97,147.036,427.982,10.35,4.35,Energy - Fossil Fuels,77,12.81
Pegasus SPAC,PGS,4.7,,143.157,,,,Holding Companies,,
Penguin Intl,BTM,0.68,10.26,149.715,151.951,7.8,3.31,Transportation,95,36.42
Pharmesis Intl,BFK,0.106,-2.87,2.438,9.069,,,Pharmaceuticals & Medical Research,76,-11.83
PlatoCapital,YYN,1.85,-1.56,22.53,0.774,,,Software & IT Services,69,-29.68
PNE Industries,BDA,0.74,4.8,62.099,73.725,17.23,6.76,Industrial Goods,52,14.05
Polaris,5BI,0.002,-2.6,34.106,70.34,,,Retailers,66,76.5
Pollux Prop,5AE,0.058,3.1,160.049,10.988,26.01,,Real Estate,63,
Powermatic Data,BCY,2.68,12.41,98.229,27.922,11.46,3.73,Technology Equipment,63,6.37
Procurri,BVQ,0.27,6.16,85.697,244.813,23,,Software & IT Services,87,-1.63
PropNex,OYY,1.68,58.01,621.6,972.795,10.56,7.44,Real Estate,76,11.68
Prudential USD,K6S,10,3.76,35154.523,1495.634,69.05,1.11,Insurance,,-96.64
PSC Corporation,DM0,0.335,7.63,191.284,556.849,7.95,2.24,Applied Resources,70,8.46
Q&M Dental,QC7,0.355,16.09,342.882,186.725,20.12,9.11,Healthcare Services,90,
QAF,Q01,0.86,5.65,494.731,560.826,17.22,5.81,Food & Beverages,78,2.69
Qian Hu,BCV,0.22,2.87,24.976,75.265,17.84,1.36,Food & Beverages,101,-5.92
Quantum Health,V8Y,0.006,,41.358,,,,Healthcare Services,,
Raffles Edu,NR7,0.055,1.43,80.215,105.371,7.83,,Academic & Educational Services,60,
Raffles Infrastructure,LUY,0.035,8.06,2.379,13.502,0.75,,Industrial & Commercial Services,86,620.39
Raffles Medical,BSL,1.47,11.25,2760.786,762.28,26.4,1.22,Healthcare Services,88,13.67
RE&S Hldg,1G1,0.25,24.85,88.5,157.441,9.36,6.8,Cyclical Consumer Services,96,23.16
Reclaims Global,NEX,0.093,8.63,12.183,31.586,5.17,10.75,Industrial & Commercial Services,64,-10.37
Reenova Investment,5EC,0.003,-144.56,19.709,0,,,Banking & Investment Services,66,
Regal Intl,UV1,0.115,-69.17,25.029,18.973,,,Real Estate,49,-20.85
Renaissance United,I11,0.001,-25.27,6.181,79.895,,,Utilities,59,-0.81
Resources Gbl,QSD,1.14,47.73,102.6,140.013,6.02,0.88,Energy - Fossil Fuels,78,45.1
Revez,RCU,0.063,-13.54,10.552,7.804,,,Software & IT Services,61,-8.63
Rex Intl,5WH,0.215,28.58,282.834,241.443,4.39,2.33,Energy - Fossil Fuels,88,68.9
RH PetroGas,T13,0.2,262.76,166.643,132.046,4.05,,Energy - Fossil Fuels,53,
Rich Capital,5G4,0.001,-48.7,7.343,6.084,,,Real Estate,56,
Riverstone,AP4,0.63,,935.49,,,14.85,Healthcare Services,66,
Sakae,5DO,0.1,1.82,14.2,17.178,13.14,5,Cyclical Consumer Services,77,-18.78
Samko Timber,E6R,0.019,32.69,45.755,375.978,42.34,,Applied Resources,81,24.56
SamuderaShipping,S56,1.24,79.22,668.523,1052.565,1.91,6.25,Transportation,74,107.83
Samurai 2K,Y8E,0.165,11.6,55.212,34.059,17.48,2.42,Chemicals,69,0.22
Sanli Env,1.00E+03,0.097,8.4,26.06,75.723,11.11,3.87,Industrial & Commercial Services,68,20.92
Sapphire,BRD,0.065,5.36,26.493,27.464,4.02,,Industrial & Commercial Services,64,-70.83
Sarine Tech,U77,0.43,14.46,153.295,75.979,10.94,5.09,Industrial Goods,60,5.13
SATS,S58,3.03,-1.61,3406.879,1411.766,,,Transportation,122,28.46
SBI Offshore,5PL,0.038,-18.55,9.336,0,,,Energy - Fossil Fuels,68,-100
SBS Transit,S61,2.68,8.08,835.798,1402.42,16.78,2.95,Transportation,102,10.55
Secura,43B,0.07,4.86,28,40.746,13.44,5.71,Industrial & Commercial Services,72,15.7
Sembcorp Ind,U96,3.74,18.94,6685.429,9260,9.41,1.87,Utilities,110,77.6
Sembcorp Marine,S51,0.135,-19.36,4237.528,2112.992,,,Industrial Goods,97,45.9
Sen Yue,5BS,0.022,-188.16,21.37,55.548,,,Mineral Resources,58,-68.28
Serial System,S69,0.09,3.91,81.521,1219.862,10.76,6.22,Industrial Goods,83,7.6
Seroja Inv,IW5,0.079,-3.99,30.38,0,,,Transportation,70,
Sevens Atelier,5EW,0.09,3.08,19.278,16.1,49.18,,Industrial & Commercial Services,84,5.72
SGX,S68,9.19,35.64,9848.394,1148.878,19.63,3.48,Banking & Investment Services,113,8.72
Shanaya,SES,0.078,,8.799,6.793,,,Industrial & Commercial Services,55,
Shanghai Turbo,AWM,0.062,-23.86,1.892,12.832,,,Industrial Goods,49,15.03
Shangri-La HKD,S07,8.26,-6.79,29616.438,10382.774,,,Cyclical Consumer Services,,17.5
Shen Yao,A78,0.001,-3.33,33.706,79.177,,,Mineral Resources,63,-13.59
Sheng Siong,OV8,1.62,33.16,2435.73,1350.235,18.36,3.86,Food & Drug Retailing,77,0.09
Shenshan,BKV,0.24,3.44,19.159,21.739,3.07,,Food & Beverages,57,3.63
Shopper360,1F0,0.112,5.64,12.813,51.435,12.18,3.13,Cyclical Consumer Services,84,14.13
SIA,C6L,5.88,3.55,17507.955,13204.4,21.79,,Transportation,95,163.65
SIA Engineering,S59,2.46,4.62,2765.326,664.772,36.93,,Transportation,103,37.48
SIIC Environment,BHK,0.198,8.1,509.982,1561.046,3.42,7.58,Utilities,82,11.23
Silverlake Axis,5CP,0.37,18.07,997.695,226.394,17.6,1.89,Financial Technology (Fintech) & Infrastructure,98,17.64
Sim Leisure,URR,0.265,5.47,43.822,12.032,44.6,,Cyclical Consumer Services,44,276.05
Sin Heng Mach,BKA,0.465,3.67,53.423,54.647,13.6,2.15,Industrial Goods,75,14.75
Sinarmas Land,A26,0.186,6.28,846.173,1042.541,4.22,0.48,Industrial & Commercial Services,78,6.14
Sincap,5UN,0.005,-2.17,16.297,4.801,,,Energy - Fossil Fuels,39,-92.58
Sing Inv & Fin,S35,1.54,8.25,242.744,75.959,7.41,5.19,Banking & Investment Services,108,
Sing Paincare,FRQ,0.22,15.71,39.517,18.837,10.13,5.45,Healthcare Services,63,71.93
SingaporeKitchen,5WG,0.059,,8.96,,,8.47,Cyclical Consumer Products,75,
SingaporeLandGrp,U06,2.32,7.82,3323.788,578.89,5.55,1.51,Real Estate,87,2.43
SingHoldings,5IC,0.365,3.9,146.363,117.147,12.01,2.74,Real Estate,69,-1.02
SingPost,S08,0.555,1.7,1276.744,1893.069,46.84,2.67,Transportation,111,32.54
SingShipping,S19,0.245,8.18,100.604,60.687,8.45,4.08,Industrial Goods,81,2.92
Singtel,Z74,2.52,7.85,41616.879,14945.5,19.28,3.73,Telecommunications Services,114,-5.84
Singtel 10,Z77,2.52,,,,,,,,
Sinjia Land,5HH,0.043,-49.05,9.548,0.45,,,Cyclical Consumer Services,61,33.93
Sino Grandness,T4B,0.02,6.2,22.344,573.804,,,Food & Beverages,42,-12.27
SinoCloud,5EK,0.001,-134.52,15.878,2.049,,,Software & IT Services,66,56.27
Sinostar Pec,C9Q,0.18,4.87,115.2,947.822,9.69,3.33,Energy - Fossil Fuels,74,12.81
Sitra,5LE,0.011,,16.316,29.535,,,Applied Resources,65,38.26
SLB Dev,1J0,0.113,11.47,103.169,91.168,4.62,1.77,Real Estate,69,44.17
SMI Vantage,Y45,0.03,-27.3,17.197,0.736,,,Banking & Investment Services,60,
Soilbuild Const,S7P,0.032,-13.09,38.184,271.11,,,Industrial & Commercial Services,80,29.62
Soon Lian,5MD,0.21,27.7,22.68,68.125,2.17,1.43,Mineral Resources,78,68.75
Soup Holdings,5KI,0.084,16.37,25.074,33.569,13.75,2.38,Cyclical Consumer Services,74,12
Southern Arch,A33,0.003,-357.89,82.712,4.25,,,Real Estate,47,34.19
Southern Pkg,BQP,0.28,-0.35,19.689,139.817,,1.61,Applied Resources,70,8.17
SouthernAlliance,QNS,0.595,4.5,290.955,54.921,58.17,0.37,Mineral Resources,65,-53.87
Spackman,40E,0.003,,5.848,,,,Cyclical Consumer Services,63,
Spura Finance,S23,0.795,3.59,126.155,29.55,14.07,2.52,Banking & Investment Services,87,-0.03
Sri Trang Agro,NC2,0.92,11.13,36710.398,113738.055,6.77,11.92,Automobiles & Auto Parts,61,-2.05
Sri Trang Gloves,STG,0.4,9.15,32663.051,26829.357,9.25,21.05,Healthcare Services,,-49.33
ST Engineering,S63,3.67,24.07,11459.558,8311.882,20.75,4.63,Industrial Goods,96,14.85
ST Group Food,DRX,0.13,0.57,31.98,43.175,294.65,1.29,Cyclical Consumer Services,78,4.65
Stamford Land,H07,0.4,-2.63,597.515,148.013,,1.25,Cyclical Consumer Services,86,-5.54
Stamford Tyres,S29,0.183,4.75,43.442,204.458,8.16,8.2,Automobiles & Auto Parts,88,9.71
StarHub,CC3,1.04,11.11,1800.917,2327.3,29.05,6.15,Telecommunications Services,95,13.94
Straco,S85,0.47,-2.46,408.397,28.858,,2.13,Cyclical Consumer Services,70,-36.15
Straits Trading,S20,2.33,40.19,1052.654,621.777,1.53,2.86,Mineral Resources,60,15.2
SunMoonFood,AAJ,0.021,-5.12,16.477,45.106,,,Food & Beverages,67,34.02
Sunpower,5GD,0.385,15.51,306.339,706.361,12.14,0.78,Industrial Goods,61,65.09
Sunright,S71,0.31,-4.91,38.07,100.718,,0.97,Technology Equipment,53,-9.59
Suntar Eco-City,BKZ,0.1,0.18,6.276,1.152,205.38,,Pharmaceuticals & Medical Research,60,-67.85
SUTL Enterprise,BHU,0.55,10.5,47.89,22.753,7.71,3.64,Cyclical Consumer Services,69,22.78
Swiber,BGK,0.109,-4.97,49.194,1139.094,,,Energy - Fossil Fuels,35,24.21
Swing Media Tech,BEV,0.46,4.97,25.107,192.05,,,Cyclical Consumer Services,50,2.19
Sysma,5UO,0.13,11.01,33.93,52.304,4.98,9.94,Industrial & Commercial Services,53,-6.36
TA,PA3,0.074,-21.71,38.337,242.644,,,Real Estate,59,27.03
Taka Jewellery,42L,0.071,5.47,40.151,104.27,6.75,,Retailers,69,7.68
TalkMed,5G3,0.41,30.14,542.247,64.361,20.59,5.85,Healthcare Services,75,6.71
Tat Seng Pkg,T12,0.66,13.03,103.752,366.933,4.44,6.06,Applied Resources,75,4.83
TC Auto,VI2,0.14,,82.546,882.986,4.5,3.79,Automobiles & Auto Parts,54,
TCIL HK$,T15,1.68,4.55,3422.625,12189.908,7.11,4.41,Transportation,,-3.95
TEE Intl,M1Z,0.032,,19.488,30.413,,,Industrial & Commercial Services,34,
Teho Intl,5OQ,0.045,14.68,10.594,57.176,3.75,2.22,Industrial Goods,92,-7.5
TeleChoice Intl,T41,0.099,-7.28,44.988,199.834,,1.26,Technology Equipment,80,-3.19
ThaiBev,Y92,0.7,15.98,17587.328,10756.376,14.79,3.05,Food & Beverages,73,13.23
Thakral,AWI,0.595,8.22,76.092,130.388,6.46,6.72,Real Estate,89,19.75
The Place Hldg,E27,0.014,-6.55,82.329,1.192,,,Holding Companies,42,3.38
TheHourGlass,AGS,2.06,25.38,1452.324,1116.486,7.92,3.88,Retailers,76,20.63
Thomson Medical,A50,0.072,10.53,1903.757,333.706,35.47,1.6,Healthcare Services,72,38.81
TIH,T55,0.23,1.66,55.588,7.939,26.56,4.35,Collective Investments,64,-48.53
Tiong Seng,BFI,0.1,-50.11,45.962,263.328,,2.5,Industrial & Commercial Services,,-15.7
Tiong Woon,BQM,0.47,4.13,109.151,122.588,9.58,0.74,Industrial Goods,86,8.53
TJ DaRenTang USD,T14,1.2,12.86,2869.402,1059.605,7.48,,Pharmaceuticals & Medical Research,59,2.13
Top Glove,BVA,0.245,-1.9,6647.756,4620.76,,52.96,Healthcare Services,,-65.03
Tosei,S2D,9.5,12.45,70104.672,70953.484,7.94,3.54,Real Estate,,14.95
Totm Tech,42F,0.102,-22.54,136.781,11.127,,,Financial Technology (Fintech) & Infrastructure,60,995.18
Travelite,BCZ,0.091,16.32,5.743,39.371,2.17,,Retailers,55,93.43
Trek 2000 Intl,5AB,0.067,-22.3,21.716,31.909,,,Technology Equipment,68,
Trendlines,42T,0.098,-9.84,87.538,3.731,,,Banking & Investment Services,96,
TrickleStar,CYW,0.24,-40.8,19.963,15.62,,0.83,Industrial Goods,74,-1.87
Tritech,5G9,0.022,-27.74,25.994,24.739,,,Industrial & Commercial Services,71,-11.05
Triyards,RC5,0.084,-114.28,26.709,154.022,,,Energy - Fossil Fuels,46,-64.23
TSH,KUH,0.091,-3,4.036,5.981,,,Cyclical Consumer Services,70,20.33
TT Intl,T09,0.014,,14.156,33.265,,,Retailers,37,-13.6
Tuan Sing,T24,0.36,-0.59,443.132,215.347,,1.94,Real Estate,102,-13.48
Tye Soon,BFU,0.395,9.3,34.47,235.881,6.52,2.15,Automobiles & Auto Parts,67,6.53
UGHealthcare,8K7,0.175,17.54,109.17,232.598,2.95,1.83,Healthcare Services,92,-31.27
Uni-Asia Grp,CHJ,0.94,14.53,73.884,92.029,3.06,10.11,Industrial & Commercial Services,87,51.13
Union Gas,1F2,0.5,24.68,158.884,146.294,13.12,2,Utilities,77,6.8
Union Steel,BLA,0.665,11,26.186,80.135,3.7,1.5,Mineral Resources,72,3.63
United Food,AZR,0.043,-5.21,8.118,11.561,,,Chemicals,28,507.01
Universal Res,BGO,0.17,-64.96,3.985,0.01,,,Energy - Fossil Fuels,41,-99.94
UnUsUaL,1D1,0.142,-3.51,146.143,9.462,,,Cyclical Consumer Services,78,1283.82
UOA,EH5,0.42,5.28,283.027,237.15,10.11,2.41,Real Estate,,-25.89
UOB,U11,30.55,9.52,51504.957,8829,12.8,3.93,Banking & Investment Services,113,
UOB Kay Hian,U10,1.41,6.42,1252.102,522.53,11.01,6.24,Banking & Investment Services,62,-20.57
UOI,U13,6.6,3.86,403.623,49.434,24.11,2.58,Insurance,93,-1.01
UOL,U14,6.94,5.78,5862.462,2947.675,9.98,2.16,Real Estate,96,30.29
USP Group,BRS,0.095,24.82,8.638,40.607,1.26,,Energy - Fossil Fuels,37,1.69
V2Y Corp,V2Y,0.02,-139.82,7.078,0.603,,,Insurance,81,-62.94
Vallianz,WPC,0.045,6.45,54.523,127.13,15.02,,Transportation,68,112.68
ValueMax,T6I,0.35,14.98,244.477,297.303,5.07,5.37,Retailers,81,-4.93
Valuetronics,BN2,0.56,8.57,243.953,348.576,12.49,4.33,Technology Equipment,89,-6.21
VCPlus,43E,0.008,-71.52,37.831,0.608,,,Mineral Resources,83,2084.55
Venture,V03,18.62,12.91,5436.269,3471.378,15.68,4.03,Technology Equipment,91,12.73
Versalink,40N,0.088,,11.88,,,20.45,Industrial & Commercial Services,76,
Vertex SPAC,VT1,4.58,,190.555,,,,Holding Companies,,
Vibrant Group,BIP,0.086,4.33,60.024,203.679,6.02,1.74,Transportation,60,11.56
VibroPower,BJD,0.042,,3.14,,,,Utilities,73,
VICOM Ltd,WJP,1.93,21.04,684.316,105.063,26.4,3.4,Industrial & Commercial Services,103,9.7
Vividthree,OMK,0.036,-31.86,13.374,3.5,,,Cyclical Consumer Services,66,19.9
Watches.com Ltd,WVJ,0.011,-33.27,5.86,40.382,,,Retailers,71,84.33
Wee Hur,E3B,0.205,7.68,191.863,232.491,5.86,2.44,Industrial & Commercial Services,54,33.08
Willas-Array,BDR,0.55,7.39,262.866,3422.809,5.07,11,Technology Equipment,71,-6.39
Wilmar Intl,F34,3.96,11.87,25357.469,95949.664,8.18,4.17,Food & Beverages,95,26.11
Wilton Resources,5F7,0.023,,60.352,0.449,27.81,,Mineral Resources,70,
Wing Tai,W05,1.52,3.98,1206.769,468.749,7.99,1.97,Real Estate,97,-10.64
Wong Fong Ind,1A1,0.127,4.26,29.845,65.436,13.51,6.3,Industrial Goods,80,12.43
World Precision,B49,0.33,2.94,132,229.099,19.38,7.77,Industrial Goods,59,-10.64
XMH,BQF,0.26,6.38,29.893,96.58,9.46,0.96,Industrial Goods,75,40.47
Y Ventures,1F1,0.023,-86.42,5.678,32.334,,,Software & IT Services,63,
Yamada Green Res,BJV,0.13,1.1,22.984,10.993,37.16,,Food & Beverages,38,-5.23
