Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,1-yr %Rev. Chg.
Aoxin Q & M,1D4,0.1,-1.57,58.746,27.826,,,Healthcare Services,82,-14.42
AP Oil,5AU,0.157,3.53,25.831,59.093,12.41,6.37,Chemicals,71,4.1
AP Strategic,5RA,0.002,-43.15,35.657,1.207,,,Cyclical Consumer Services,51,0.75
APAC Realty,CLN,0.625,21.3,220.223,719.253,6.29,12.1,Real Estate,81,24.87
Arion Ent,YYB,0.005,-61.8,4.67,0.931,,,Cyclical Consumer Services,66,5.08
Ascent Bridge,AWG,0.56,-17.43,50.446,9.567,,,Mineral Resources,46,-30.62
Asia Enterprises,A55,0.157,3.88,53.681,73.522,14.27,5.1,Mineral Resources,61,107.62
Asia Vets,5RE,0.043,-3.72,6.284,2.522,,,Healthcare Services,61,-36.36
AsiaPhos,5WV,0.015,-6.35,15.473,2.304,,,Chemicals,50,89.79
Asiatic,5CR,0.003,-29.68,5.225,39.665,,,Industrial Goods,67,1.45
ASL Marine,A04,0.047,-42.15,31.024,252.134,,,Industrial Goods,60,21.36
Aspen,1F3,0.039,-14.3,41.277,56.543,,,Real Estate,76,-34.55
Aspial Corp,A30,0.079,-0.07,171.555,469.522,,9.49,Cyclical Consumer Products,57,-5.48
Aspial Lifestyle,5UF,0.154,10.58,212.352,255.288,10.36,8.12,Retailers,72,-6.02
Astaka,42S,0.088,3.23,162.349,11.59,,,Real Estate,47,22.28
Atlantic Nav,5UL,0.109,10.68,57.046,78.917,5.56,,Energy - Fossil Fuels,57,32.38
Audience,1AZ,0.27,,45.414,,,4.67,Cyclical Consumer Services,52,
AusGroup,5GJ,0.009,-137.22,27.73,227.295,,,Energy - Fossil Fuels,52,25.63
Avarga,U09,0.23,14,218.533,2371.441,4.72,3.65,Cyclical Consumer Products,81,-1.85
Avi-Tech Hldg,1R6,0.275,,45.327,30.849,14.43,5.19,Technology Equipment,,5.15
AVJennings A$,A05,0.34,3.2,166.555,222.814,12.73,4.32,Real Estate,,-28.38
Axington,42U,0.19,-3.5,35.463,0,,,Industrial & Commercial Services,84,
Axington R,IXOR,0,,,,,,,,
Axington R1,QPQR,0,,,,,,,,
Azeus,BBW,8,33.65,239.925,40.37,27.68,3.09,Software & IT Services,59,22.98
Aztech Gbl,8AZ,0.82,,650.014,,,3.57,Industrial Goods,65,
B&M Hldg,CJN,2.96,58.58,24.503,10.001,,0.51,Banking & Investment Services,59,217.59
Baker Technology,BTP,0.665,5.29,134.914,86.25,12.44,0.75,Holding Companies,75,39.44
Ban Leong,B26,0.335,19.17,39.028,217.163,5.05,11.19,Technology Equipment,71,6.28
Banyan Tree,B58,0.36,-2.42,312.456,283.385,,,Cyclical Consumer Services,82,103.97
BBR,KJ5,0.113,8.41,36.692,175.994,4.63,2.65,Industrial & Commercial Services,66,11.9
Beng Kuang,BEZ,0.054,-38.39,10.757,54.221,,,Industrial & Commercial Services,67,10.49
Best World,CGN,2.33,30.96,1059.88,530.49,8.48,,Retailers,64,-11.61
Beverly JCG,VFP,0.001,-204.39,19.681,10.83,,,Healthcare Services,38,41.55
BH Global,BQN,0.13,7.2,39,47.869,10.39,3.85,Industrial Goods,60,7.49
Biolidics,8YY,0.02,,9.374,,,,Healthcare Services,64,
BlackGoldNatural,41H,0.007,,6.449,15.465,,,Energy - Fossil Fuels,66,-10.68
Boldtek,5VI,0.035,-12.52,12.378,53.382,,,Real Estate,57,-11.41
Bonvests,B28,0.92,2.93,369.396,167.639,15.05,0.82,Cyclical Consumer Services,67,51.8
Boustead,F9D,0.875,7.39,430.058,538.371,13,4.65,Industrial & Commercial Services,87,-26.89
Boustead Proj,AVM,0.95,3.35,302.4,277.692,22.6,0.21,Industrial & Commercial Services,81,-29.31
BRC Asia,BEC,1.81,25.79,507.797,1699.266,5.57,6.52,Cyclical Consumer Products,65,45.4
Broadway Ind,B69,0.108,17.07,50.967,488.435,3.34,9.26,Industrial Goods,45,16.04
Brook Crompton,AWC,0.695,6.54,24.644,54.966,9.51,2.88,Industrial Goods,75,19.43
Bukit Sembawang,B61,4.56,2.9,1180.634,210.059,28.02,0.88,Real Estate,62,-62.26
Bumitama Agri,P8Z,0.615,32.45,1065.442,1382.557,3.54,7.52,Food & Beverages,59,49.74
Bund Center,BTE,0.48,0.84,368.838,73.782,100.62,10.31,Real Estate,54,-9.11
Camsing Hc,BAC,1.07,,30.298,5.717,,,Retailers,44,
Capital World,1D5,0.005,149.79,9.091,1.2,,,Real Estate,53,41.41
CapitaLandInvest,9CI,3.8,,20032.305,2598,9.35,,Real Estate,99,
Captii,AWV,0.385,19.08,12.304,22.971,1.37,4.87,Telecommunications Services,48,2.96
Casa,C04,0.093,2.97,19.514,21.676,11.06,3.23,Cyclical Consumer Products,63,13.96
CDW,BXE,0.24,9.43,60.504,188.813,9.06,6.96,Technology Equipment,85,12.98
Centurion,OU8,0.36,11.9,298.476,168.818,3.88,2.11,Real Estate,84,33.46
CFM,5EB,0.121,16.29,20.758,26.851,10.99,,Industrial Goods,53,29.75
CH Offshore,C13,0.06,-6.51,45.817,23.925,,,Energy - Fossil Fuels,68,29.01
Charisma Energy,5QT,0.002,,26.056,18.032,,,Utilities,52,10.74
Chasen,5NV,0.06,3.05,21.777,161.746,11.18,,Transportation,61,3.47
ChasWood Res,5TW,0.009,,2.213,0.915,,,Cyclical Consumer Services,41,
Chemical Ind,C05,0.77,8.02,58.478,100.533,5.85,1.95,Chemicals,60,49.06
China Aviation,G92,1.02,4.01,891.901,24223.168,18.64,1.84,Transportation,78,31.93
China Env,5OU,0.037,-23.23,30.335,1.138,,,Industrial & Commercial Services,59,
China Env Res,RS1,0.006,-4.01,89.608,93.188,,,Automobiles & Auto Parts,,19.66
China Everbright,U9E,0.24,9.96,714.995,1231.22,3.61,8.68,Utilities,74,9.35
China Fishery,B0Z,0.076,2.22,264.711,647.524,,,Food & Beverages,45,-20.31
China Intl,BEH,0.102,-17.25,7.732,20.141,,,Industrial & Commercial Services,70,-32.79
China Mining,BHD,0.03,35.59,12.229,5.758,0.63,,Real Estate,60,1527.83
China Yuanbang,BCD,0.18,-13.39,12.481,15.404,,,Real Estate,58,-84.17
ChinaKangdaFood,P74,0.045,-1.29,129.81,1846.265,,,Food & Beverages,56,4.13
ChinaKundaTech,GU5,0.017,-41.99,6.964,3.861,,,Chemicals,67,-35.94
ChinaSunsine,QES,0.465,20.74,461.782,776.286,3.5,2.13,Chemicals,57,30.89
Chip Eng Seng,C29,0.745,0.88,618.014,1129.245,85.42,2.67,Real Estate,81,12.13
Choo Chiang,42E,0.31,15.51,64.48,82.39,7.89,7.42,Industrial Goods,69,16.53
Chuan Hup,C33,0.22,1.39,203.475,8.541,47.19,4.55,Real Estate,60,-72.04
CityDev,C09,7.88,14.68,7392.62,2906.217,5.93,,Real Estate,113,30.46
Civmec,P9D,0.665,16.12,334.244,778.012,6.41,5.42,Industrial & Commercial Services,84,10.68
Clearbridge,1H3,0.034,-37.99,20.401,37.939,,,Healthcare Services,70,22.32
CNMC Goldmine,5TP,0.177,4.49,74.585,45.084,31.89,1.09,Mineral Resources,65,29.22
Comba,STC,0.265,,,,,,,,
Combine Will,N0Z,0.855,6.34,27.631,194.389,3.55,5.85,Personal & Household Products & Services,79,7.89
ComfortDelGro,C52,1.18,5.8,2579.263,3655.7,16.34,4.16,Transportation,101,5.92
Cordlife,P8A,0.385,4.15,88.283,59.737,15.26,2.73,Healthcare Services,66,15.56
Cortina,C41,3.7,27.11,612.64,799.155,7.54,0.54,Retailers,58,36.04
COSCO SHP SG,F83,0.192,5.26,436.653,196.036,14.81,,Transportation,69,0.82
CosmoSteel,B9S,0.13,2.84,37.752,46.083,16.35,5.77,Mineral Resources,82,17.08
Courage Inv,CIN,0.016,20.37,92.208,102.237,1.04,,Transportation,,69.61
Creative,C76,1.6,-13.36,124.463,81.432,,,Technology Equipment,38,-27.4
CreditBureauAsia,TCU,0.99,16.68,228.086,46.588,28.85,3.43,Industrial & Commercial Services,63,3.27
CSC,C06,0.009,-14.08,32.295,263.664,,,Industrial & Commercial Services,71,6.05
Darco Water Tech,BLR,0.092,-13.23,8.632,68.797,,,Utilities,62,1.69
Datapulse Tech,BKW,0.108,-5.35,23.315,1.921,,,Real Estate,64,84.71
DBS,D05,34.71,14.32,90721.875,15927,11.01,4.28,Banking & Investment Services,115,56.38
Debao Property,BTF,0.128,-3.64,9.282,36.894,,15.63,Real Estate,40,-39.45
Del Monte Pac,D03,0.315,13.58,1084.353,3166.339,7.1,7.59,Food & Beverages,107,6.48
Delfi,P34,0.88,15.57,534.601,585.482,11.07,4.14,Food & Beverages,64,14.75
DFIRG USD,D01,3.24,2.68,4412.252,8961.7,154.14,2.3,Food & Drug Retailing,,-6.31
Digilife Tech,BAI,1.77,,24.429,,,,Telecommunications Services,73,
Don Agro,GRQ,0.245,12.91,36.817,39.576,3.92,3.48,Food & Beverages,43,18.11
Dragon,MT1,0.004,,1.342,3.782,,,Industrial Goods,64,30.34
Duty Free Intl,5SO,0.131,3.05,161.458,40.694,48.21,1.53,Retailers,54,-7.24
Dyna-Mac,NO4,0.197,20.67,204.041,237.893,33.33,,Industrial Goods,56,
Econ Healthcare,EHG,0.199,1.15,50.372,49.723,125.64,1.17,Healthcare Services,51,5.78
EcoWise,5CT,0.078,-12.04,70.376,29.581,,,Industrial & Commercial Services,78,-16.83
Edition,5HG,0.004,-29.26,10.093,0.212,,,Food & Beverages,58,-8.62
Eindec,42Z,0.038,12.77,4.093,22.53,4.83,,Industrial & Commercial Services,58,-9.79
Ellipsiz,BIX,0.265,2.2,44.167,55.215,17.93,3.77,Technology Equipment,74,-1.06
Emperador Inc.,EMI,0.51,12.65,330465.906,60218.887,33.59,,Food & Beverages,,6.16
Eneco Energy,R14,0.015,-10.57,34.66,44.023,,,Energy - Fossil Fuels,38,15.37
EnGro,S44,1.05,10.76,124.638,131.928,4,2.38,Mineral Resources,69,15.69
Envictus,BQD,0.143,-3.99,43.65,157.497,,,Cyclical Consumer Services,53,34.93
Enviro-Hub,L23,0.035,4.22,53.795,45.559,16.75,,Industrial & Commercial Services,57,35.15
ES,5RC,0.045,-14.93,6.354,28.735,,,Industrial Goods,72,68.35
ETC Singapore,1C0,0.034,,31.735,,,,Real Estate,82,
EuroSports Gbl,5G1,0.19,-18.2,51.675,62.426,,,Retailers,84,36.22
Ezra,5DN,0.011,-121.68,31.57,697.291,,,Energy - Fossil Fuels,30,-3.44
